mq
Max,Min,Average,Median
650489,1642,10104.32,2108.0
222010,2050,10579.5568,2741.0
873304,1629,10027.1508,2107.0
179989,2054,9959.908,2758.0
678798,1646,9780.1606,2102.0
280847,2054,10098.328,2743.5
1334538,1645,9739.1192,2111.0
264488,2053,8580.5638,2752.0
571370,1670,7672.5496,2124.0
429341,2034,9434.497,2752.0
383217,1640,7543.9812,2102.0
191208,2040,7555.4402,2739.0
380325,1653,7670.328,2102.0
188085,2041,8341.1458,2727.0
463781,1635,9030.539,2090.0
249106,2040,8261.3552,2736.0
309340,1658,7507.8458,2102.0
223468,2064,7663.77,2742.0
--------
mq_workload
Max,Min,Average,Median
36752,3134,4309.457,3816.0
35786,3129,4222.4236,3727.0
38204,3064,3943.8262,3673.0
26694,3072,3975.0282,3686.0
28548,3110,4199.6864,3752.0
--------
mq_processing
Max,Min,Average,Median
17394,882,1131.6976,1029.0
21588,919,1092.7892,1064.0
16382,882,1134.446,1029.0
11044,916,1097.2304,1064.0
26965,882,1131.289,1030.0
9359,919,1090.558,1066.0
18615,879,1064.3886,1005.0
8123,919,1148.3202,1071.0
11758,882,1087.881,1023.0
21221,916,1109.5472,1066.0
--------
mutex
Max,Min,Average,Median
15082382,1862,6418148.4058,5774596.0
26799106,15123736,20950118.9554,20928968.0
15209032,1837,7205195.5112,6637124.5
33582060,15242815,23468420.935,22405209.0
15418160,1910,6631713.901,6634505.5
33323475,15500047,24706140.7788,25074946.0
9698968,1847,3773298.3504,3460557.0
21659479,9842726,15761416.5162,15719066.0
9383559,1852,3599546.138,3292630.5
22946278,9473048,15884079.9356,15816195.0
--------
mutex_pip
Max,Min,Average,Median
50830,3492,4615.8278,4469.0
46279,3481,4608.1324,4459.0
40460,3478,4602.3226,4450.0
47669,3486,4563.6316,4453.5
47872,3486,4556.4004,4448.0
--------
mutex_workload
Max,Min,Average,Median
9329,1900,2519.2344,2504.0
21573,1897,2504.0304,2506.0
25264,1910,2577.869,2523.0
24037,1859,2525.2982,2512.0
24031,1875,2542.3866,2509.0
--------
mutex_processing
Max,Min,Average,Median
238,36,50.0308,53.0
682,34,47.5838,49.0
1098,36,49.7812,50.0
897,34,47.2924,48.0
17092,35,54.4974,49.0
3559,34,48.8884,50.0
5221,35,50.993,51.0
3186,34,50.1164,51.0
3537,35,49.8586,52.0
216,34,46.6824,47.0
--------
sem
Max,Min,Average,Median
12402669,1915,5434033.3856,5343209.0
27012858,11934962,18747821.9134,17768061.5
13728098,1696,5985662.7784,5403946.0
26694285,13356357,20811466.735,20938794.5
11448105,1740,5370086.9842,5299477.5
27339225,10927383,18400630.5818,18488877.5
11017994,1759,5269712.1968,5292074.0
26147884,10533775,17648237.3728,16887527.0
16611958,1735,7464150.2768,7415718.5
32744938,16222690,24554495.9378,24556417.0
--------
sem_processing
Max,Min,Average,Median
3731,33,48.251,48.0
742,34,48.7294,50.0
3428,34,47.1102,48.0
247,33,46.5918,48.0
529,34,45.5816,46.5
189,34,47.1814,47.0
3698,33,46.3792,47.5
3409,34,49.2638,49.0
520,34,46.6096,48.0
125,34,47.1556,47.0
--------
sem_prio
Max,Min,Average,Median
11732,678,886.2884,750.0
13757,680,878.7788,748.0
23190,681,852.2918,748.0
7422,563,735.6814,624.0
7704,569,715.8388,624.0
--------
round_robin
Max,Min,Average,Median
20539058,1569,7054701.806161232,5207010.0
17867889,1578,6192380.145229046,4673922.0
18683964,1569,5646211.264252851,2999553.0
23169610,1578,6182078.8561712345,2230630.0
16961963,1561,6077937.704340869,5252708.0
--------
