Max,Min,Average,Median
650489,1642,10104.32,2108.0
222010,2050,10579.5568,2741.0
873304,1629,10027.1508,2107.0
179989,2054,9959.908,2758.0
678798,1646,9780.1606,2102.0
280847,2054,10098.328,2743.5
1334538,1645,9739.1192,2111.0
264488,2053,8580.5638,2752.0
571370,1670,7672.5496,2124.0
429341,2034,9434.497,2752.0
383217,1640,7543.9812,2102.0
191208,2040,7555.4402,2739.0
380325,1653,7670.328,2102.0
188085,2041,8341.1458,2727.0
463781,1635,9030.539,2090.0
249106,2040,8261.3552,2736.0
309340,1658,7507.8458,2102.0
223468,2064,7663.77,2742.0
